code,role,schoolId,expiresAt,note
TEAC-GEN-68C0A6,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-EE087F,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-763991,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5CAB1F,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-EDF277,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-15133B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-63959E,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-2CE578,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-162FC4,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-318C80,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-A11CDF,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0E2F6B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-015CE7,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-93A590,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-AD4ED4,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-DC01E2,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B5E7B7,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-1BEBB9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-BF068D,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5D1DF8,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-82525B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-90C7A1,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-FD59D4,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B0672C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-FBEB36,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-6B9A6D,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-3E1B8B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-68CE59,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0CB11A,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-936BC9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-C08298,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-E4E0E1,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-126330,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-3577E9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
